Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"PPB","PPB GROUP","Consumer Staples","Equity","77,234.80","0.04","77,234.80","16,226.00","S66816695","MYL4065OO008","6681669","4.76","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"139480","E-MART INC","Consumer Staples","Equity","77,112.43","0.04","77,112.43","488.00","-","KR7139480008","B682TF7","158.11","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","77,051.24","0.04","77,051.24","2,217.00","S62735832","INE437A01024","6273583","34.75","India","National Stock Exchange Of India","USD","73.39","INR"
"1402","FAR EASTERN NEW CENTURY CORP","Industrials","Equity","76,888.09","0.04","76,888.09","75,380.00","S63314702","TW0001402006","6331470","1.02","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"010950","S-OIL CORP","Energy","Equity","76,806.51","0.04","76,806.51","1,155.00","S64060551","KR7010950004","6406055","66.52","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"018880","HANON SYSTEMS","Consumer Discretionary","Equity","76,317.03","0.04","76,317.03","4,758.00","-","KR7018880005","B00LR01","16.04","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"006800","DAEWOO SECURITIES","Financials","Equity","76,194.67","0.04","76,194.67","7,962.00","S62496583","KR7006800007","6249658","9.57","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"URC","UNIVERSAL ROBINA CORP","Consumer Staples","Equity","76,051.90","0.04","76,051.90","22,907.00","S69195196","PHY9297P1004","6919519","3.32","Philippines","Philippine Stock Exchange Inc.","USD","48.09","PHP"
"NED","NEDBANK GROUP LTD","Financials","Equity","75,929.53","0.04","75,929.53","9,421.00","S5518R104","ZAE000004875","6628008","8.06","South Africa","Johannesburg Stock Exchange","USD","15.52","ZAR"
"005387","HYUNDAI MOTOR S2 PREF","Consumer Discretionary","Equity","75,766.38","0.04","75,766.38","723.00","S61482725","KR7005382007","6148272","104.80","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"3606","FUYAO GLASS INDUSTRY GROUP LTD H","Consumer Discretionary","Equity","75,603.22","0.04","75,603.22","11,217.00","-","CNE100001TR7","BWGCFG4","6.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","75,603.22","0.04","75,603.22","37,060.00","-","MYL8869OO009","BF0J5S4","2.04","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"2344","WINBOND ELECTRONICS CORP","Information Technology","Equity","75,582.82","0.04","75,582.82","74,101.00","S69665156","TW0002344009","6966515","1.02","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"JUBLFOOD","JUBILANT FOODWORKS LTD","Consumer Discretionary","Equity","75,358.48","0.04","75,358.48","1,890.00","-","INE797F01012","B3PRM66","39.88","India","National Stock Exchange Of India","USD","73.39","INR"
