Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"UPM","UPM-KYMMENE","Materials","Equity","1,924,450.19","0.38","1,924,450.19","52,480.00","S50512524","FI0009005987","5051252","36.67","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
"UCG","UNICREDIT","Financials","Equity","1,924,298.46","0.38","1,924,298.46","208,936.00","-","IT0005239360","BYMXPS7","9.21","Italy","Borsa Italiana","USD","0.81","EUR"
"CLNX","CELLNEX TELECOM SA","Communication","Equity","1,924,096.16","0.38","1,924,096.16","31,109.00","-","ES0105066007","BX90C05","61.85","Spain","Bolsa De Madrid","USD","0.81","EUR"
"TEF","TELEFONICA SA","Communication","Equity","1,921,112.12","0.38","1,921,112.12","470,861.00","879382109","ES0178430E18","5732524","4.08","Spain","Bolsa De Madrid","USD","0.81","EUR"
"G","ASSICURAZIONI GENERALI","Financials","Equity","1,853,136.80","0.37","1,853,136.80","108,497.00","S40567190","IT0000062072","4056719","17.08","Italy","Borsa Italiana","USD","0.81","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","1,798,968.96","0.36","1,798,968.96","20,952.00","S51290740","DE0005785802","5129074","85.86","Germany","Xetra","USD","0.81","EUR"
"DWNI","DEUTSCHE WOHNEN","Real Estate","Equity","1,784,402.82","0.35","1,784,402.82","33,605.00","-","DE000A0HN5C6","B0YZ0Z5","53.10","Germany","Xetra","USD","0.81","EUR"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","1,778,232.44","0.35","1,778,232.44","273,154.00","S41035965","PTEDP0AM0009","4103596","6.51","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.81","EUR"
"ZAL","ZALANDO","Consumer Discretionary","Equity","1,768,976.87","0.35","1,768,976.87","14,917.00","-","DE000ZAL1111","BQV0SV7","118.59","Germany","Xetra","USD","0.81","EUR"
"MT","ARCELORMITTAL SA","Materials","Equity","1,709,043.27","0.34","1,709,043.27","70,476.00","-","LU1598757687","BYPBS67","24.25","France","Euronext Amsterdam","USD","0.81","EUR"
"SY1","SYMRISE AG","Materials","Equity","1,688,711.37","0.33","1,688,711.37","12,649.00","-","DE000SYM9999","B1JB4K8","133.51","Germany","Xetra","USD","0.81","EUR"
"KBC","KBC GROEP","Financials","Equity","1,687,042.33","0.33","1,687,042.33","24,564.00","S44977494","BE0003565737","4497749","68.68","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"GLE","SOCIETE GENERALE SA","Financials","Equity","1,644,861.21","0.33","1,644,861.21","79,732.00","S59665166","FR0000130809","5966516","20.63","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
